<TCP> 0: Completed Requests: 2000, Min: 0.0650000000132422, Max: 0.249000000050728, Mean: 0.148129500030178, 99th Perc: 0.226000000046042, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 2: Completed Requests: 2000, Min: 0.0690000000140572, Max: 0.269000000054803, Mean: 0.154172500031409, 99th Perc: 0.240000000048894, MeanIC: 0.999827222222222, FlowsMissed: 0
<EDF-P> 2: Completed Requests: 2000, Min: 0.0690000000140572, Max: 0.269000000054803, Mean: 0.154172500031409, 99th Perc: 0.240000000048894, MeanIC: 0.999827222222222, FlowsMissed: 0
<Vriksha> 2: Completed Requests: 2000, Min: 0.0690000000140572, Max: 0.264000000053784, Mean: 0.15245900003106, 99th Perc: 0.230000000046857, MeanIC: 0.999571111111111, FlowsMissed: 0
<SJF-P> 2: Completed Requests: 2000, Min: 0.0710000000144646, Max: 0.267000000054395, Mean: 0.154646500031506, 99th Perc: 0.235000000047876, MeanIC: 0.999860555555556, FlowsMissed: 0
<TCP> 3: Completed Requests: 2000, Min: 0.077000000015687, Max: 0.293000000059692, Mean: 0.160347000032667, 99th Perc: 0.246000000050117, MeanIC: 0.999416666666667, FlowsMissed: 0
<EDF-NP> 3: Completed Requests: 2000, Min: 0.0710000000144646, Max: 0.293000000059692, Mean: 0.161081500032817, 99th Perc: 0.246000000050117, MeanIC: 0.991691666666667, FlowsMissed: 0
<EDF-P> 3: Completed Requests: 2000, Min: 0.0710000000144646, Max: 0.293000000059692, Mean: 0.161081500032817, 99th Perc: 0.246000000050117, MeanIC: 0.991691666666667, FlowsMissed: 0
<Vriksha> 3: Completed Requests: 2000, Min: 0.0710000000144646, Max: 0.269000000054803, Mean: 0.156361000031855, 99th Perc: 0.23600000004808, MeanIC: 0.998008333333333, FlowsMissed: 0
<SJF-P> 3: Completed Requests: 2000, Min: 0.0730000000148721, Max: 0.273000000055617, Mean: 0.160661000032731, 99th Perc: 0.248000000050524, MeanIC: 0.994530555555555, FlowsMissed: 0
<TCP> 4: Completed Requests: 2000, Min: 0.0850000000173168, Max: 0.296000000060303, Mean: 0.168933000034416, 99th Perc: 0.254000000051747, MeanIC: 0.992387777777778, FlowsMissed: 0
<EDF-NP> 4: Completed Requests: 2000, Min: 0.0760000000154832, Max: 0.27900000005684, Mean: 0.164393500033491, 99th Perc: 0.248000000050524, MeanIC: 0.959842222222222, FlowsMissed: 0
<EDF-P> 4: Completed Requests: 2000, Min: 0.0760000000154832, Max: 0.27900000005684, Mean: 0.164393500033491, 99th Perc: 0.248000000050524, MeanIC: 0.959842222222222, FlowsMissed: 0
<Vriksha> 4: Completed Requests: 2000, Min: 0.0730000000148721, Max: 0.293000000059692, Mean: 0.160958500032792, 99th Perc: 0.23600000004808, MeanIC: 0.989162222222222, FlowsMissed: 0
<SJF-P> 4: Completed Requests: 2000, Min: 0.077000000015687, Max: 0.276000000056229, Mean: 0.1659100000338, 99th Perc: 0.253000000051543, MeanIC: 0.967825, FlowsMissed: 0
<TCP> 5: Completed Requests: 2000, Min: 0.0790000000160944, Max: 0.320000000065193, Mean: 0.176947500036049, 99th Perc: 0.269000000054803, MeanIC: 0.961067777777778, FlowsMissed: 0
<EDF-NP> 5: Completed Requests: 2000, Min: 0.0790000000160944, Max: 0.297000000060507, Mean: 0.172103500035062, 99th Perc: 0.254000000051747, MeanIC: 0.880984444444446, FlowsMissed: 0
<EDF-P> 5: Completed Requests: 2000, Min: 0.0790000000160944, Max: 0.297000000060507, Mean: 0.172103000035062, 99th Perc: 0.254000000051747, MeanIC: 0.880993333333335, FlowsMissed: 2
<Vriksha> 5: Completed Requests: 2000, Min: 0.0860000000175205, Max: 0.260000000052969, Mean: 0.166191500033858, 99th Perc: 0.239000000048691, MeanIC: 0.971327222222223, FlowsMissed: 0
<SJF-P> 5: Completed Requests: 2000, Min: 0.0860000000175205, Max: 0.292000000059488, Mean: 0.171396500034918, 99th Perc: 0.257000000052358, MeanIC: 0.92105388888889, FlowsMissed: 0
<TCP> 6: Completed Requests: 2000, Min: 0.0920000000187429, Max: 0.326000000066415, Mean: 0.186331500037961, 99th Perc: 0.283000000057655, MeanIC: 0.865687777777779, FlowsMissed: 0
<EDF-NP> 6: Completed Requests: 2000, Min: 0.0860000000175205, Max: 0.292000000059488, Mean: 0.177216000036104, 99th Perc: 0.262000000053376, MeanIC: 0.779559444444445, FlowsMissed: 0
<EDF-P> 6: Completed Requests: 2000, Min: 0.0860000000175205, Max: 0.292000000059488, Mean: 0.177213000036103, 99th Perc: 0.262000000053376, MeanIC: 0.779557222222223, FlowsMissed: 43
<Vriksha> 6: Completed Requests: 2000, Min: 0.0830000000169093, Max: 0.298000000060711, Mean: 0.170854500034808, 99th Perc: 0.246000000050117, MeanIC: 0.933876666666667, FlowsMissed: 0
<SJF-P> 6: Completed Requests: 2000, Min: 0.0860000000175205, Max: 0.303000000061729, Mean: 0.176308500035919, 99th Perc: 0.26300000005358, MeanIC: 0.838628888888889, FlowsMissed: 0
<TCP> 7: Completed Requests: 2000, Min: 0.0940000000191503, Max: 0.325000000066211, Mean: 0.197706000040278, 99th Perc: 0.284000000057858, MeanIC: 0.728776666666668, FlowsMissed: 0
<EDF-NP> 7: Completed Requests: 2000, Min: 0.0910000000185391, Max: 0.323000000065804, Mean: 0.180702000036814, 99th Perc: 0.266000000054191, MeanIC: 0.649212777777778, FlowsMissed: 0
<EDF-P> 7: Completed Requests: 2000, Min: 0.0900000000183354, Max: 0.317000000064581, Mean: 0.179973500036665, 99th Perc: 0.265000000053988, MeanIC: 0.655101111111111, FlowsMissed: 1369
<Vriksha> 7: Completed Requests: 2000, Min: 0.0930000000189466, Max: 0.282000000057451, Mean: 0.179643500036598, 99th Perc: 0.244000000049709, MeanIC: 0.916914444444445, FlowsMissed: 0
<SJF-P> 7: Completed Requests: 2000, Min: 0.0890000000181317, Max: 0.300000000061118, Mean: 0.178489000036363, 99th Perc: 0.26300000005358, MeanIC: 0.747438333333332, FlowsMissed: 0
<TCP> 8: Completed Requests: 2000, Min: 0.104000000021188, Max: 0.347000000070693, Mean: 0.212757000043344, 99th Perc: 0.30600000006234, MeanIC: 0.53567111111111, FlowsMissed: 0
<EDF-NP> 8: Completed Requests: 2000, Min: 0.101000000020576, Max: 0.304000000061933, Mean: 0.186413500037977, 99th Perc: 0.264000000053784, MeanIC: 0.486469444444445, FlowsMissed: 0
<EDF-P> 8: Completed Requests: 2000, Min: 0.103000000020984, Max: 0.327000000066619, Mean: 0.183357500037355, 99th Perc: 0.269000000054803, MeanIC: 0.502369999999999, FlowsMissed: 12416
<Vriksha> 8: Completed Requests: 2000, Min: 0.117000000023836, Max: 0.276000000056229, Mean: 0.189387500038583, 99th Perc: 0.250000000050932, MeanIC: 0.894527777777778, FlowsMissed: 0
<SJF-P> 8: Completed Requests: 2000, Min: 0.0970000000197615, Max: 0.299000000060914, Mean: 0.182779500037237, 99th Perc: 0.269000000054803, MeanIC: 0.658866666666666, FlowsMissed: 0
<TCP> 9: Completed Requests: 2000, Min: 0.195000000039727, Max: 0.474000000096567, Mean: 0.332715500067783, 99th Perc: 0.431000000087806, MeanIC: 0.0264333333333334, FlowsMissed: 0
<EDF-NP> 9: Completed Requests: 2000, Min: 0.108000000022002, Max: 0.329000000067026, Mean: 0.205484000041863, 99th Perc: 0.286000000058266, MeanIC: 0.162335, FlowsMissed: 0
<EDF-P> 9: Completed Requests: 2000, Min: 0.103000000020984, Max: 0.313000000063766, Mean: 0.186348000037964, 99th Perc: 0.269000000054803, MeanIC: 0.33023, FlowsMissed: 95140
<Vriksha> 9: Completed Requests: 2000, Min: 0.167000000034022, Max: 0.286000000058266, Mean: 0.242258500049355, 99th Perc: 0.257000000052358, MeanIC: 0.946444444444446, FlowsMissed: 0
<SJF-P> 9: Completed Requests: 2000, Min: 0.099000000020169, Max: 0.323000000065804, Mean: 0.183820500037449, 99th Perc: 0.272000000055414, MeanIC: 0.580456111111112, FlowsMissed: 0
<TCP> 10: Completed Requests: 1967, Min: 0.423000000086176, Max: 2.87900000058653, Mean: 1.64639145941015, 99th Perc: 2.78000000056636, MeanIC: 0.00339603457041185, FlowsMissed: 0
<EDF-NP> 10: Completed Requests: 1968, Min: 0.37300000007599, Max: 2.79700000056982, Mean: 1.59460264260129, 99th Perc: 2.74600000055943, MeanIC: 0.0623515130984642, FlowsMissed: 0
<EDF-P> 10: Completed Requests: 2000, Min: 0.103000000020984, Max: 0.312000000063563, Mean: 0.191766000039068, 99th Perc: 0.276000000056229, MeanIC: 0.199886111111111, FlowsMissed: 393483
<Vriksha> 10: Completed Requests: 1966, Min: 0.442000000090047, Max: 2.80600000057166, Mean: 1.63203611426942, 99th Perc: 2.78000000056636, MeanIC: 0.954170905391665, FlowsMissed: 0
<SJF-P> 10: Completed Requests: 2000, Min: 0.103000000020984, Max: 0.298000000060711, Mean: 0.184604500037609, 99th Perc: 0.27100000005521, MeanIC: 0.504836666666666, FlowsMissed: 0
<TCP> 11: Completed Requests: 1795, Min: 0.659000000134256, Max: 4.95100000100865, Mean: 2.78707799499677, 99th Perc: 4.82500000098298, MeanIC: 0.00295883627359955, FlowsMissed: 0
<EDF-NP> 11: Completed Requests: 1786, Min: 0.582000000118569, Max: 4.99300000101721, Mean: 2.78457558847323, 99th Perc: 4.90900000100009, MeanIC: 0.0673889511011571, FlowsMissed: 0
<EDF-P> 11: Completed Requests: 2000, Min: 0.11000000002241, Max: 0.319000000064989, Mean: 0.19909000004056, 99th Perc: 0.280000000057044, MeanIC: 0.117184444444445, FlowsMissed: 704801
<Vriksha> 11: Completed Requests: 1782, Min: 0.692000000140979, Max: 5.00300000101925, Mean: 2.83671043828835, 99th Perc: 4.96900000101232, MeanIC: 0.976206509539842, FlowsMissed: 0
<SJF-P> 11: Completed Requests: 2000, Min: 0.103000000020984, Max: 0.298000000060711, Mean: 0.184285000037544, 99th Perc: 0.273000000055617, MeanIC: 0.444211111111111, FlowsMissed: 0
<TCP> 12: Completed Requests: 1640, Min: 0.869000000177039, Max: 6.70600000136619, Mean: 3.82042743980271, 99th Perc: 6.63300000135132, MeanIC: 0.00274593495934964, FlowsMissed: 0
<EDF-NP> 12: Completed Requests: 1640, Min: 0.849000000172964, Max: 6.7340000013719, Mean: 3.79161158613831, 99th Perc: 6.65600000135601, MeanIC: 0.0497499999999999, FlowsMissed: 0
<EDF-P> 12: Completed Requests: 2000, Min: 0.201000000040949, Max: 0.924000000188244, Mean: 0.561661000114425, 99th Perc: 0.874000000178057, MeanIC: 0.0279022222222223, FlowsMissed: 886047
<Vriksha> 12: Completed Requests: 1629, Min: 0.913000000186003, Max: 6.8410000013937, Mean: 3.87076795658968, 99th Perc: 6.78500000138229, MeanIC: 0.975936157151627, FlowsMissed: 0
<SJF-P> 12: Completed Requests: 2000, Min: 0.103000000020984, Max: 0.298000000060711, Mean: 0.184883000037666, 99th Perc: 0.27100000005521, MeanIC: 0.394671111111111, FlowsMissed: 0
<TCP> 13: Completed Requests: 1503, Min: 1.13400000023103, Max: 8.39200000170968, Mean: 4.76615302824977, 99th Perc: 8.27100000168502, MeanIC: 0.00251497005988027, FlowsMissed: 0
<EDF-NP> 13: Completed Requests: 1509, Min: 1.06700000021738, Max: 8.33500000169806, Mean: 4.70261365238283, 99th Perc: 8.21500000167362, MeanIC: 0.0519019218025183, FlowsMissed: 0
<EDF-P> 13: Completed Requests: 2000, Min: 0.332000000067637, Max: 2.36500000048181, Mean: 1.34149900027328, 99th Perc: 2.28700000046592, MeanIC: 0.0280111111111112, FlowsMissed: 887041
<Vriksha> 13: Completed Requests: 1502, Min: 1.17300000023897, Max: 8.35800000170275, Mean: 4.76394607287467, 99th Perc: 8.27800000168645, MeanIC: 0.895739014647133, FlowsMissed: 0
<SJF-P> 13: Completed Requests: 2000, Min: 0.103000000020984, Max: 0.298000000060711, Mean: 0.183018500037286, 99th Perc: 0.262000000053376, MeanIC: 0.358205555555555, FlowsMissed: 0
<TCP> 14: Completed Requests: 1378, Min: 1.38400000028196, Max: 9.89900000201669, Mean: 5.63337953670645, 99th Perc: 9.74900000198613, MeanIC: 0.00244879858087407, FlowsMissed: 0
<EDF-NP> 14: Completed Requests: 1396, Min: 1.25200000025507, Max: 9.67200000197045, Mean: 5.47297206415224, 99th Perc: 9.55500000194661, MeanIC: 0.0361779687997453, FlowsMissed: 0
<EDF-P> 14: Completed Requests: 1921, Min: 0.450000000091677, Max: 3.4090000006945, Mean: 1.94629776197902, 99th Perc: 3.33100000067861, MeanIC: 0.0235993984614495, FlowsMissed: 887399
<Vriksha> 14: Completed Requests: 1389, Min: 1.3960000002844, Max: 9.72600000198145, Mean: 5.5617228233073, 99th Perc: 9.63800000196352, MeanIC: 0.918356931445485, FlowsMissed: 0
<SJF-P> 14: Completed Requests: 2000, Min: 0.103000000020984, Max: 0.294000000059896, Mean: 0.185362500037763, 99th Perc: 0.267000000054395, MeanIC: 0.32214, FlowsMissed: 0
